date,data_source,cargo_value_type,ingested_at,origin,destination,commodity,vessel_type,cargo_tonnes,bdi,vlsfo_usd_per_tonne,coal_price_usd_per_mt,iron_ore_price_usd_per_dmt,wind_kmh,wave_height_m,cyclone_risk,weather_delay_days,current_freight_usd_per_tonne,next_month_freight_usd_per_tonne,_origin_region_raw,exclusion_reason
2024-02-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Capesize,170000.0,1560.0,638.0,124.2,124.4,32.410000000000004,2.0,2.0,0.5,13.9,14.3,Australia East Coast,"unsupported_vessel: 'Capesize' is not in the existing model's training categories (Panamax, Supramax). Original value preserved; row excluded from the retraining-ready subset."
2024-03-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Capesize,170000.0,1680.0,645.0,131.5,109.8,27.78,1.7,1.0,0.0,14.3,15.8,Australia East Coast,"unsupported_vessel: 'Capesize' is not in the existing model's training categories (Panamax, Supramax). Original value preserved; row excluded from the retraining-ready subset."
2024-04-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Capesize,170000.0,1820.0,655.0,135.0,112.8,26.2984,1.6,2.0,0.5,15.8,16.6,Australia East Coast,"unsupported_vessel: 'Capesize' is not in the existing model's training categories (Panamax, Supramax). Original value preserved; row excluded from the retraining-ready subset."
2024-05-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Capesize,170000.0,1950.0,660.0,142.0,118.9,35.188,2.6,4.0,2.0,16.6,16.1,Australia East Coast,"unsupported_vessel: 'Capesize' is not in the existing model's training categories (Panamax, Supramax). Original value preserved; row excluded from the retraining-ready subset."
2024-06-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Capesize,170000.0,1890.0,642.0,135.1,107.5,43.522000000000006,3.1,3.0,2.5,16.1,12.8,Australia East Coast,"unsupported_vessel: 'Capesize' is not in the existing model's training categories (Panamax, Supramax). Original value preserved; row excluded from the retraining-ready subset."
2024-07-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Capesize,170000.0,1420.0,615.0,137.6,106.9,48.152,3.6,2.0,3.5,12.8,12.2,Australia East Coast,"unsupported_vessel: 'Capesize' is not in the existing model's training categories (Panamax, Supramax). Original value preserved; row excluded from the retraining-ready subset."
2024-08-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Capesize,170000.0,1350.0,605.0,145.8,99.9,46.6704,3.4,2.0,3.0,12.2,12.6,Australia East Coast,"unsupported_vessel: 'Capesize' is not in the existing model's training categories (Panamax, Supramax). Original value preserved; row excluded from the retraining-ready subset."
2024-09-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Capesize,170000.0,1390.0,610.0,139.2,92.8,38.52160000000001,2.7,3.0,2.0,12.6,15.1,Australia East Coast,"unsupported_vessel: 'Capesize' is not in the existing model's training categories (Panamax, Supramax). Original value preserved; row excluded from the retraining-ready subset."
2024-10-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Capesize,170000.0,1740.0,630.0,146.6,101.4,32.410000000000004,2.2,5.0,3.5,15.1,16.2,Australia East Coast,"unsupported_vessel: 'Capesize' is not in the existing model's training categories (Panamax, Supramax). Original value preserved; row excluded from the retraining-ready subset."
2024-11-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Capesize,170000.0,1880.0,648.0,142.1,100.5,31.1136,2.0,4.0,2.5,16.2,16.4,Australia East Coast,"unsupported_vessel: 'Capesize' is not in the existing model's training categories (Panamax, Supramax). Original value preserved; row excluded from the retraining-ready subset."
2024-12-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Capesize,170000.0,1910.0,650.0,129.8,102.2,31.484,1.9,2.0,1.0,16.4,12.2,Australia East Coast,"unsupported_vessel: 'Capesize' is not in the existing model's training categories (Panamax, Supramax). Original value preserved; row excluded from the retraining-ready subset."
2025-01-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Capesize,170000.0,1380.0,595.0,118.6,99.6,29.632,1.8,2.0,0.5,12.2,11.8,Australia East Coast,"unsupported_vessel: 'Capesize' is not in the existing model's training categories (Panamax, Supramax). Original value preserved; row excluded from the retraining-ready subset."
2025-02-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Capesize,170000.0,1310.0,588.0,106.9,105.1,31.1136,1.9,2.0,0.5,11.8,12.1,Australia East Coast,"unsupported_vessel: 'Capesize' is not in the existing model's training categories (Panamax, Supramax). Original value preserved; row excluded from the retraining-ready subset."
2025-03-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Capesize,170000.0,1360.0,592.0,104.0,100.1,26.854000000000003,1.6,1.0,0.0,12.1,17.1,Australia East Coast,"unsupported_vessel: 'Capesize' is not in the existing model's training categories (Panamax, Supramax). Original value preserved; row excluded from the retraining-ready subset."
