date,data_source,cargo_value_type,ingested_at,origin,destination,commodity,vessel_type,cargo_tonnes,bdi,vlsfo_usd_per_tonne,coal_price_usd_per_mt,iron_ore_price_usd_per_dmt,wind_kmh,wave_height_m,cyclone_risk,weather_delay_days,current_freight_usd_per_tonne,next_month_freight_usd_per_tonne,_origin_region_raw,exclusion_reason
2024-02-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1560.0,638.0,124.2,124.4,28.1504,1.7,2.0,0.5,9.8,10.2,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2024-03-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1680.0,645.0,131.5,109.8,25.928,1.5,1.0,0.0,10.2,12.1,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2024-04-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1820.0,655.0,135.0,112.8,30.558,1.9,2.0,0.5,12.1,12.7,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2024-05-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1950.0,660.0,142.0,118.9,38.892,2.8,4.0,2.0,12.7,12.3,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2024-06-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1890.0,642.0,135.1,107.5,48.152,3.5,3.0,2.5,12.3,9.5,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2024-07-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1420.0,615.0,137.6,106.9,54.634,4.1,2.0,3.5,9.5,8.9,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2024-08-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1350.0,605.0,145.8,99.9,51.856,3.9,2.0,3.0,8.9,9.2,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2024-09-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1390.0,610.0,139.2,92.8,43.522000000000006,3.0,3.0,2.0,9.2,11.4,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2024-10-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1740.0,630.0,146.6,101.4,33.336,2.3,5.0,3.5,11.4,12.2,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2024-11-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1880.0,648.0,142.1,100.5,30.0024,2.0,4.0,2.5,12.2,12.4,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
