date,origin,destination,commodity,vessel_type,cargo_tonnes,bdi,vlsfo_usd_per_tonne,coal_price_usd_per_mt,iron_ore_price_usd_per_dmt,wind_kmh,wave_height_m,cyclone_risk,weather_delay_days,current_freight_usd_per_tonne,next_month_freight_usd_per_tonne,trajectory_id,data_origin,synthetic_generation_method
2024-02-01,Australia West Coast,East Coast India,Iron Ore,Capesize,170000.0,1560.0,638.0,124.2,124.4,28.1504,1.7,2.0,0.5,9.8,10.2,,original,original_observation
2024-02-01,Hay Point,East Coast India,Coal,Capesize,170000.0,1560.0,638.0,124.2,124.4,32.410000000000004,2.0,2.0,0.5,13.9,14.3,,original,original_observation
2024-02-01,Hay Point,East Coast India,Coal,Panamax,75000.0,1560.0,638.0,124.2,124.4,32.410000000000004,2.0,2.0,0.5,16.5,16.9,,original,original_observation
2024-02-01,Taboneo,East Coast India,Thermal Coal,Panamax,75000.0,1560.0,638.0,124.2,124.4,21.853600000000004,1.2,2.0,0.5,10.1,10.5,,original,original_observation
2024-02-01,Taboneo,East Coast India,Thermal Coal,Supramax,55000.0,1560.0,638.0,124.2,124.4,21.853600000000004,1.2,2.0,0.5,11.8,12.2,,original,original_observation
2024-03-01,Australia West Coast,East Coast India,Iron Ore,Capesize,170000.0,1680.0,645.0,131.5,109.8,25.928,1.5,1.0,0.0,10.2,12.1,,original,original_observation
2024-03-01,Hay Point,East Coast India,Coal,Capesize,170000.0,1680.0,645.0,131.5,109.8,27.78,1.7,1.0,0.0,14.3,15.8,,original,original_observation
2024-03-01,Hay Point,East Coast India,Coal,Panamax,75000.0,1680.0,645.0,131.5,109.8,27.78,1.7,1.0,0.0,16.9,18.7,,original,original_observation
2024-03-01,Taboneo,East Coast India,Thermal Coal,Panamax,75000.0,1680.0,645.0,131.5,109.8,19.446,1.1,1.0,0.0,10.5,11.1,,original,original_observation
2024-03-01,Taboneo,East Coast India,Thermal Coal,Supramax,55000.0,1680.0,645.0,131.5,109.8,19.446,1.1,1.0,0.0,12.2,12.9,,original,original_observation
2024-04-01,Australia West Coast,East Coast India,Iron Ore,Capesize,170000.0,1820.0,655.0,135.0,112.8,30.558,1.9,2.0,0.5,12.1,12.7,,original,original_observation
2024-04-01,Hay Point,East Coast India,Coal,Capesize,170000.0,1820.0,655.0,135.0,112.8,26.2984,1.6,2.0,0.5,15.8,16.6,,original,original_observation
2024-04-01,Hay Point,East Coast India,Coal,Panamax,75000.0,1820.0,655.0,135.0,112.8,26.2984,1.6,2.0,0.5,18.7,19.5,,original,original_observation
2024-04-01,Taboneo,East Coast India,Thermal Coal,Panamax,75000.0,1820.0,655.0,135.0,112.8,22.224,1.4,2.0,0.5,11.1,11.6,,original,original_observation
2024-04-01,Taboneo,East Coast India,Thermal Coal,Supramax,55000.0,1820.0,655.0,135.0,112.8,22.224,1.4,2.0,0.5,12.9,13.5,,original,original_observation
2024-05-01,Australia West Coast,East Coast India,Iron Ore,Capesize,170000.0,1950.0,660.0,142.0,118.9,38.892,2.8,4.0,2.0,12.7,12.3,,original,original_observation
2024-05-01,Hay Point,East Coast India,Coal,Capesize,170000.0,1950.0,660.0,142.0,118.9,35.188,2.6,4.0,2.0,16.6,16.1,,original,original_observation
2024-05-01,Hay Point,East Coast India,Coal,Panamax,75000.0,1950.0,660.0,142.0,118.9,35.188,2.6,4.0,2.0,19.5,19.0,,original,original_observation
2024-05-01,Taboneo,East Coast India,Thermal Coal,Panamax,75000.0,1950.0,660.0,142.0,118.9,34.262,2.4,4.0,2.0,11.6,11.4,,original,original_observation
2024-05-01,Taboneo,East Coast India,Thermal Coal,Supramax,55000.0,1950.0,660.0,142.0,118.9,34.262,2.4,4.0,2.0,13.5,13.2,,original,original_observation
2024-06-01,Australia West Coast,East Coast India,Iron Ore,Capesize,170000.0,1890.0,642.0,135.1,107.5,48.152,3.5,3.0,2.5,12.3,9.5,,original,original_observation
2024-06-01,Hay Point,East Coast India,Coal,Capesize,170000.0,1890.0,642.0,135.1,107.5,43.522000000000006,3.1,3.0,2.5,16.1,12.8,,original,original_observation
