date,data_source,cargo_value_type,ingested_at,origin,destination,commodity,vessel_type,cargo_tonnes,bdi,vlsfo_usd_per_tonne,coal_price_usd_per_mt,iron_ore_price_usd_per_dmt,wind_kmh,wave_height_m,cyclone_risk,weather_delay_days,current_freight_usd_per_tonne,next_month_freight_usd_per_tonne
2024-02-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1560.0,638.0,124.2,124.4,32.410000000000004,2.0,2.0,0.5,16.5,16.9
2024-03-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1680.0,645.0,131.5,109.8,27.78,1.7,1.0,0.0,16.9,18.7
2024-04-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1820.0,655.0,135.0,112.8,26.2984,1.6,2.0,0.5,18.7,19.5
2024-05-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1950.0,660.0,142.0,118.9,35.188,2.6,4.0,2.0,19.5,19.0
2024-06-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1890.0,642.0,135.1,107.5,43.522000000000006,3.1,3.0,2.5,19.0,15.5
2024-07-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1420.0,615.0,137.6,106.9,48.152,3.6,2.0,3.5,15.5,14.9
2024-08-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1350.0,605.0,145.8,99.9,46.6704,3.4,2.0,3.0,14.9,15.3
2024-09-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1390.0,610.0,139.2,92.8,38.52160000000001,2.7,3.0,2.0,15.3,17.9
2024-10-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1740.0,630.0,146.6,101.4,32.410000000000004,2.2,5.0,3.5,17.9,19.0
2024-11-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1880.0,648.0,142.1,100.5,31.1136,2.0,4.0,2.5,19.0,19.2
2024-12-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1910.0,650.0,129.8,102.2,31.484,1.9,2.0,1.0,19.2,15.0
2025-01-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1380.0,595.0,118.6,99.6,29.632,1.8,2.0,0.5,15.0,14.5
2025-02-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1310.0,588.0,106.9,105.1,31.1136,1.9,2.0,0.5,14.5,14.8
2025-03-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1360.0,592.0,104.0,100.1,26.854000000000003,1.6,1.0,0.0,14.8,20.3
2025-04-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1980.0,640.0,98.6,97.2,27.78,1.7,2.0,0.5,20.3,21.2
2025-05-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,2150.0,658.0,104.4,97.0,37.966,2.8,5.0,2.5,21.2,20.8
2025-06-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,2080.0,652.0,109.0,92.3,45.9296,3.3,3.0,3.0,20.8,16.8
2025-07-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1540.0,620.0,112.9,97.3,50.93,3.8,2.0,4.0,16.8,16.0
2025-08-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1460.0,608.0,112.2,99.7,48.152,3.5,2.0,3.5,16.0,16.4
2025-09-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1500.0,614.0,106.3,103.3,39.818000000000005,2.8,3.0,2.0,16.4,19.1
2025-10-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1850.0,635.0,107.5,103.5,33.7064,2.3,5.0,4.0,19.1,20.0
2025-11-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,Hay Point,East Coast India,Coal,Panamax,75000.0,1970.0,646.0,112.6,102.5,31.484,2.1,4.0,2.5,20.0,20.3
